"Ano/mês processamento";"Média complexidade";"Alta complexidade";"Total"
"2014";6,40;4,28;6,27
"..Janeiro/2014";6,60;3,73;6,42
"..Fevereiro/2014";6,17;5,22;6,10
"..Março/2014";6,40;4,80;6,31
"..Abril/2014";6,43;4,50;6,31
"..Maio/2014";5,81;4,67;5,74
"..Junho/2014";6,07;4,28;5,97
"..Julho/2014";6,56;4,08;6,41
"..Agosto/2014";6,57;4,15;6,42
"..Setembro/2014";6,50;3,63;6,32
"..Outubro/2014";6,61;4,60;6,47
"..Novembro/2014";6,33;3,77;6,16
"..Dezembro/2014";6,69;4,11;6,54
"2015";6,73;3,99;6,56
"..Janeiro/2015";6,70;4,27;6,56
"..Fevereiro/2015";6,78;4,67;6,66
"..Março/2015";6,38;3,87;6,22
"..Abril/2015";6,80;4,21;6,66
"..Maio/2015";7,22;4,62;7,07
"..Junho/2015";6,78;3,78;6,60
"..Julho/2015";6,83;3,63;6,61
"..Agosto/2015";6,68;3,28;6,48
"..Setembro/2015";6,53;4,33;6,39
"..Outubro/2015";6,52;2,91;6,26
"..Novembro/2015";6,82;4,02;6,63
"..Dezembro/2015";6,74;4,64;6,61
"2016";6,99;4,08;6,80
"..Janeiro/2016";7,44;4,89;7,28
"..Fevereiro/2016";6,78;4,32;6,62
"..Março/2016";6,87;4,38;6,72
"..Abril/2016";6,67;4,26;6,53
"..Maio/2016";6,49;4,11;6,35
"..Junho/2016";6,84;3,85;6,66
"..Julho/2016";7,55;3,38;7,27
"..Agosto/2016";7,19;3,80;6,98
"..Setembro/2016";7,18;3,77;6,96
"..Outubro/2016";6,85;4,31;6,68
"..Novembro/2016";7,20;3,89;6,98
"..Dezembro/2016";6,80;4,13;6,62
"2017";6,86;3,72;6,65
"..Janeiro/2017";7,27;4,03;7,04
"..Fevereiro/2017";6,61;4,61;6,48
"..Março/2017";6,96;3,74;6,75
"..Abril/2017";7,06;4,11;6,88
"..Maio/2017";6,69;4,19;6,53
"..Junho/2017";6,86;3,34;6,63
"..Julho/2017";7,11;3,44;6,87
"..Agosto/2017";6,92;3,57;6,70
"..Setembro/2017";6,62;3,30;6,40
"..Outubro/2017";6,60;3,79;6,42
"..Novembro/2017";6,84;3,04;6,60
"..Dezembro/2017";6,80;3,74;6,60
"2018";7,02;3,55;6,79
"..Janeiro/2018";7,01;3,84;6,82
"..Fevereiro/2018";7,19;3,84;6,98
"..Março/2018";6,95;4,27;6,79
"..Abril/2018";6,45;3,64;6,28
"..Maio/2018";7,16;3,33;6,93
"..Junho/2018";7,03;3,71;6,82
"..Julho/2018";7,51;3,78;7,26
"..Agosto/2018";7,07;3,29;6,82
"..Setembro/2018";7,13;3,13;6,88
"..Outubro/2018";6,80;3,47;6,56
"..Novembro/2018";6,72;3,16;6,47
"..Dezembro/2018";7,19;3,28;6,92
"2019";7,05;3,41;6,80
"..Janeiro/2019";7,24;4,23;7,04
"..Fevereiro/2019";6,63;3,77;6,43
"..Março/2019";7,36;3,73;7,13
"..Abril/2019";6,76;3,23;6,52
"..Maio/2019";7,13;3,46;6,87
"..Junho/2019";7,75;2,85;7,43
"..Julho/2019";7,40;3,38;7,09
"..Agosto/2019";6,90;3,27;6,63
"..Setembro/2019";6,83;2,78;6,53
"..Outubro/2019";6,88;3,23;6,62
"..Novembro/2019";6,71;3,50;6,48
"..Dezembro/2019";7,02;3,65;6,77
"2020";9,26;3,74;8,91
"..Janeiro/2020";7,46;3,44;7,19
"..Fevereiro/2020";6,84;3,52;6,59
"..Março/2020";7,40;3,36;7,11
"..Abril/2020";8,58;4,23;8,27
"..Maio/2020";11,37;4,58;11,01
"..Junho/2020";11,22;4,40;10,88
"..Julho/2020";10,95;4,13;10,58
"..Agosto/2020";9,68;4,23;9,32
"..Setembro/2020";9,54;3,79;9,19
"..Outubro/2020";8,48;3,31;8,15
"..Novembro/2020";9,74;2,89;9,28
"..Dezembro/2020";9,99;3,55;9,59
"2021";10,18;3,87;9,75
"  Janeiro/2021";10,19;4,86;9,92
"  Fevereiro/2021";9,74;3,46;9,38
"  Março/2021";10,70;3,36;10,24
"  Abril/2021";12,43;4,10;11,96
"  Maio/2021";11,92;4,02;11,44
"  Junho/2021";10,51;4,05;10,07
"  Julho/2021";10,14;4,11;9,72
"  Agosto/2021";9,96;3,98;9,52
"  Setembro/2021";10,04;3,61;9,54
"  Outubro/2021";8,84;3,56;8,44
"  Novembro/2021";8,54;4,09;8,19
"  Dezembro/2021";8,91;3,53;8,48
"2022";7,78;3,35;7,46
"..Janeiro/2022";9,73;3,51;9,29
"..Fevereiro/2022";8,87;3,46;8,48
"..Março/2022";7,76;3,55;7,46
"..Abril/2022";7,40;3,31;7,11
"..Maio/2022";7,68;3,25;7,35
"..Junho/2022";7,49;3,58;7,21
"..Julho/2022";7,63;3,35;7,33
"..Agosto/2022";7,67;3,19;7,34
"..Setembro/2022";8,02;3,72;7,67
"..Outubro/2022";7,41;2,97;7,08
"..Novembro/2022";6,89;3,15;6,60
"..Dezembro/2022";7,07;3,26;6,78
"2023";6,80;3,23;6,53
"Janeiro/2023";7,39;4,08;7,16
"Fevereiro/2023";6,79;3,23;6,54
"Março/2023";6,64;3,34;6,41
"Abril/2023";6,36;3,19;6,12
"Maio/2023";6,14;3,36;5,94
"Junho/2023";7,00;2,93;6,67
"Julho/2023";6,95;3,08;6,64
"Agosto/2023";6,53;3,11;6,26
"Setembro/2023";7,24;2,71;6,86
"Outubro/2023";6,74;2,91;6,43
"Novembro/2023";7,17;3,32;6,85
"Dezembro/2023";6,74;3,72;6,49
"2024";6,88;3,21;6,57
"Janeiro/2024";6,88;3,21;6,57
"Total";7,51;3,67;7,25
