"Especialidade";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov";"2022/Dez";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez";"2024/Jan";"Total"
"Clínica cirúrgica";6,1;6,0;6,1;6,3;6,2;6,0;6,1;5,7;5,6;6,0;5,7;6,2;6,0;6,1;5,6;5,9;5,8;5,5;5,7;5,4;5,6;5,5;5,5;6,1;5,8;5,9;5,8;5,7;5,8;6,0;6,2;5,9;6,2;5,9;6,4;6,7;6,3;6,4;6,3;6,0;6,2;6,0;6,0;5,9;5,8;5,7;6,2;6,2;5,8;6,2;5,8;5,5;5,5;5,9;6,0;5,5;5,5;5,7;5,6;5,4;6,0;5,7;5,8;5,5;5,7;5,5;5,5;5,4;5,3;5,4;5,5;5,5;5,9;5,5;5,7;6,9;7,2;6,6;6,2;5,8;5,5;5,4;5,6;5,8;5,8;5,5;5,2;5,4;5,3;5,0;5,1;5,0;5,1;5,1;5,1;5,2;5,6;5,1;5,0;5,0;5,0;4,9;4,8;4,8;4,7;4,9;4,8;5,0;5,0;4,7;4,5;4,7;4,6;4,4;4,5;4,3;4,4;4,3;4,5;4,6;4,8;5,5
"Obstetrícia";3,0;3,1;3,0;3,1;3,1;3,0;3,1;3,1;3,2;3,2;3,1;3,2;3,1;3,2;3,1;3,1;3,1;3,1;3,1;3,1;3,2;3,1;3,1;3,1;3,0;3,0;3,1;3,1;3,0;3,0;2,9;3,0;3,0;3,0;3,1;3,0;2,9;3,1;3,1;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,1;3,0;3,0;3,0;3,0;3,0;3,1;3,0;3,0;3,1;3,0;3,1;3,0;3,0;3,0;3,0;3,0;3,0;3,1;3,1;3,1;3,0;3,1;3,0;3,0;3,0;3,0;2,9;2,8;2,8;2,9;2,9;2,9;2,9;3,0;2,8;2,9;2,9;2,9;2,9;2,9;3,0;2,9;2,9;2,9;2,9;2,9;3,0;2,9;2,9;2,9;2,9;3,0;3,1;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,0;3,1;3,1;3,0;3,1;3,1;3,1;3,1;3,0;3,1;3,2;3,1;3,0
"Clínica médica";8,7;9,1;9,3;9,1;9,2;8,9;9,2;9,0;8,7;9,2;9,2;9,4;8,6;9,0;8,6;8,4;8,8;9,1;9,0;8,8;9,1;9,1;9,0;9,1;8,8;8,7;8,7;8,9;9,0;8,8;9,5;9,1;9,4;9,4;9,7;9,7;9,0;8,8;9,3;8,8;9,3;9,0;9,0;9,0;9,0;9,0;9,4;9,2;9,0;8,9;9,0;8,9;8,6;8,9;9,1;8,6;9,1;9,1;9,1;8,5;9,0;8,7;9,0;8,8;8,8;8,6;8,8;8,8;8,7;8,8;8,9;9,0;9,0;8,9;9,3;8,7;8,1;8,1;8,2;8,2;8,4;8,3;8,2;8,3;8,1;8,3;8,0;7,8;8,2;8,1;8,4;8,2;8,5;8,6;8,7;8,7;8,5;8,6;9,0;9,0;9,3;9,2;8,8;9,1;9,1;9,0;9,0;9,3;8,9;8,7;8,5;8,6;8,5;8,4;8,4;8,5;8,7;8,8;8,9;8,7;8,6;8,8
"Cuidados prolongados (crônicos)";95,3;87,9;85,3;107,3;107,9;92,4;112,0;120,2;86,5;95,3;90,9;101,2;134,9;95,6;76,7;91,4;83,7;86,0;75,1;101,8;87,8;91,7;96,4;93,8;83,8;76,1;75,9;80,0;85,8;89,9;60,4;64,3;84,7;82,0;72,4;78,9;74,8;71,1;69,8;82,9;82,2;75,7;74,2;75,1;74,9;83,9;77,4;68,4;75,2;71,1;70,6;77,1;77,4;67,0;77,4;74,7;71,5;87,6;80,1;100,9;58,5;76,5;65,2;70,2;78,6;65,2;57,2;78,8;78,8;97,7;77,2;86,4;58,1;102,3;94,3;92,2;87,3;82,3;71,0;73,3;72,4;77,8;78,2;83,6;75,4;68,7;79,0;78,2;82,9;75,2;65,5;74,9;73,2;82,8;81,5;94,0;72,1;66,0;64,4;68,4;78,1;117,3;67,6;57,9;70,8;68,8;81,1;61,7;52,5;68,0;64,0;47,0;54,8;59,9;52,8;63,2;59,3;54,5;64,6;62,3;35,9;77,9
"Psiquiatria";114,5;123,9;166,8;143,5;137,9;139,1;134,3;104,3;106,7;127,3;124,8;100,5;124,8;158,3;129,0;125,7;94,3;102,7;102,1;107,8;106,2;102,2;118,3;128,4;120,4;109,7;127,4;124,7;134,8;124,7;108,4;125,0;123,4;118,7;116,9;123,3;103,3;124,3;120,9;120,8;113,1;108,2;107,0;90,9;87,8;94,9;98,5;97,3;112,5;94,8;95,7;105,9;104,5;103,4;100,8;91,8;96,2;84,1;85,1;101,5;68,6;70,3;80,1;84,9;77,6;81,6;72,7;69,3;71,4;70,6;73,3;72,4;79,9;72,9;104,0;100,6;120,5;110,1;74,7;79,1;82,2;68,7;67,2;69,4;68,9;60,0;63,8;60,9;51,3;47,5;58,8;50,5;47,7;53,7;56,9;54,3;46,9;45,4;45,5;41,1;39,6;43,0;53,1;39,7;45,8;38,4;41,5;40,7;44,0;36,7;40,1;39,0;37,2;42,6;40,3;32,5;32,2;35,5;29,6;25,2;18,4;90,1
"Pneumologia sanitária (tisiologia)";59,1;64,0;68,8;63,2;54,6;58,6;40,3;30,8;47,7;43,3;42,8;41,5;32,0;30,3;40,7;46,6;60,8;54,5;55,8;50,0;36,2;34,4;67,5;56,5;79,7;52,8;51,1;141,4;68,2;51,9;55,7;40,7;61,4;48,5;47,8;49,2;36,7;75,5;42,9;52,8;63,0;76,3;75,3;66,9;55,3;67,9;74,6;53,1;34,0;32,6;45,6;57,9;52,7;66,0;71,3;50,5;78,8;54,6;63,9;98,7;33,8;52,2;65,6;70,2;48,4;82,2;56,8;41,6;44,7;58,7;52,3;56,3;32,4;56,7;46,7;77,2;97,7;79,5;72,2;69,7;81,1;67,9;79,3;76,0;32,9;46,4;61,5;67,1;63,6;53,9;78,6;77,1;66,1;56,7;69,1;58,6;38,4;70,2;52,9;65,6;81,5;65,1;49,3;50,0;57,5;70,0;57,0;67,4;29,6;55,5;43,3;41,4;48,1;38,8;52,5;35,1;39,0;45,5;55,1;72,3;30,2;52,8
"Pediatria";6,1;6,7;6,5;6,5;6,5;6,5;6,9;6,6;6,5;6,6;6,8;6,7;6,8;6,8;6,2;6,3;6,5;6,5;7,0;7,1;6,8;6,8;6,7;6,9;6,7;6,6;6,6;6,6;6,6;6,9;7,2;7,4;7,0;7,1;7,5;7,4;7,1;7,6;7,4;7,1;7,6;7,5;7,5;7,6;7,2;6,8;7,2;7,0;7,2;7,4;7,3;6,8;7,1;7,0;7,2;7,2;7,3;7,2;6,8;6,7;7,5;6,6;7,1;6,7;6,8;6,7;7,1;7,5;6,9;7,1;6,4;6,3;7,1;6,6;6,7;7,6;7,7;7,6;7,5;7,3;7,0;7,0;7,5;7,2;6,9;6,9;7,1;7,2;7,2;7,1;6,8;6,5;6,6;6,6;6,6;6,6;6,9;6,6;6,0;6,6;6,2;6,3;6,4;6,3;6,2;6,3;6,2;6,7;6,4;6,3;5,8;6,1;6,3;6,4;6,7;6,5;6,7;6,4;6,5;6,6;6,7;6,8
"Reabilitação";41,3;33,1;43,8;44,0;43,1;41,0;41,9;32,6;36,6;29,4;32,0;37,6;38,8;38,2;32,8;35,3;38,5;33,6;41,0;33,4;22,4;38,8;38,9;33,2;32,7;28,0;43,3;31,8;37,0;43,0;39,6;44,0;37,7;39,1;40,4;41,6;27,3;36,9;31,8;35,6;34,5;41,3;37,2;44,0;31,6;40,8;...;31,1;36,1;44,0;36,8;44,0;44,0;39,3;33,1;...;41,3;34,5;44,0;40,2;33,0;44,0;24,8;33,2;9,0;...;...;30,8;26,6;28,3;27,5;28,3;32,4;33,5;28,7;32,4;33,4;28,3;25,1;25,6;30,2;23,4;26,5;32,2;19,8;32,9;35,4;33,9;31,5;34,7;37,1;32,5;32,4;33,9;28,2;30,0;37,4;30,5;35,7;29,0;11,0;33,4;40,5;39,2;36,4;38,1;35,4;40,5;34,6;33,0;42,6;38,1;39,5;33,6;40,4;36,0;41,3;38,6;38,5;41,0;41,0;35,3
"Clínica cirúrgica - hospital-dia";-;-;0,4;-;-;-;-;-;-;-;-;-;0,1;0,0;0,0;-;0,1;0,1;0,0;0,4;0,3;0,5;0,1;-;-;0,0;0,0;0,0;-;0,2;0,2;0,1;0,0;-;0,0;0,1;0,1;-;1,1;0,4;0,3;0,2;0,1;0,1;0,4;0,0;0,4;0,0;0,0;0,1;0,0;0,0;-;0,0;0,0;0,0;0,0;0,0;0,0;-;-;-;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;-;-;-;0,0;-;-;0,0;0,0;-;-;0,1;-;0,0;0,0;0,0;0,5;0,1;-;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,1;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,1;0,0;0,0;0,1;0,1;0,0;0,0;0,1;0,1
"Aids - hospital-dia";28,9;26,0;30,0;28,0;29,7;29,0;28,3;27,8;29,0;28,4;29,0;26,1;29,6;24,9;30,0;29,0;27,4;29,0;26,0;30,0;29,0;30,0;27,0;30,0;26,9;28,0;28,0;25,9;26,5;27,6;28,1;28,3;27,7;29,9;...;23,7;30,0;27,1;28,8;25,3;28,7;28,3;30,0;25,8;1,0;29,6;29,1;24,4;29,1;25,0;29,8;27,6;29,9;24,1;29,9;28,6;16,3;28,6;27,5;27,9;27,3;22,1;29,2;28,9;29,9;29,1;28,2;29,9;27,7;24,0;29,1;29,9;30,0;26,7;30,0;29,0;30,0;29,1;30,0;30,0;29,0;30,0;29,0;30,0;29,6;25,0;30,0;29,0;30,0;29,0;28,3;30,0;29,0;30,0;29,0;30,0;30,0;27,2;30,0;29,0;29,0;29,0;29,0;30,0;29,0;30,0;29,0;29,9;30,0;27,3;29,8;29,0;30,0;29,0;30,0;30,0;29,0;30,0;28,5;28,8;30,0;28,6
