"Ano/mês processamento";"Clínica cirúrgica";"Obstetrícia";"Clínica médica";"Cuidados prolongados (crônicos)";"Psiquiatria";"Pneumologia sanitária (tisiologia)";"Pediatria";"Reabilitação";"Clínica cirúrgica - hospital-dia";"Aids - hospital-dia";"Intercorrência pós-transplante - hospital-dia";"Saúde mental - hospital-dia";"Saúde mental - clínico";"Não discriminado";"Total"
"2014";203462;137461;203816;4990;8389;442;74262;91;488;190;17;1654;395;-;635657
"..Janeiro/2014";15667;10787;17202;438;865;41;6070;10;38;23;-;136;75;-;51352
"..Fevereiro/2014";16388;10960;16369;441;647;33;5916;7;52;23;1;100;43;-;50980
"..Março/2014";15143;11769;15739;489;581;28;5765;4;51;17;1;101;32;-;49720
"..Abril/2014";15748;11623;16288;376;645;37;5952;7;47;13;6;131;41;-;50914
"..Maio/2014";16371;12495;15976;372;699;31;6418;7;67;23;1;108;56;-;52624
"..Junho/2014";15362;11072;15747;458;667;30;6423;10;34;14;1;146;6;-;49970
"..Julho/2014";17927;12037;18133;371;700;37;6972;11;54;17;-;138;33;-;56430
"..Agosto/2014";18059;11954;18009;343;827;49;6706;10;42;13;1;121;21;-;56155
"..Setembro/2014";18421;11766;18316;460;752;33;6772;10;31;12;2;198;8;-;56781
"..Outubro/2014";19799;11112;18651;427;627;41;6328;9;55;10;3;198;13;-;57273
"..Novembro/2014";18563;10814;17222;435;624;43;5592;1;10;11;1;118;32;-;53466
"..Dezembro/2014";16014;11072;16164;380;755;39;5348;5;7;14;-;159;35;-;49992
"2015";216898;145108;221259;4888;7820;645;77361;84;1443;132;8;1348;1488;-;678482
"..Janeiro/2015";16178;12150;18130;271;613;30;5919;6;53;13;-;184;58;-;53605
"..Fevereiro/2015";15972;11262;17434;352;439;86;5813;5;29;21;1;115;40;-;51569
"..Março/2015";19070;13050;18398;522;605;48;6534;6;76;12;-;170;60;-;58551
"..Abril/2015";18514;13059;18694;405;586;41;7039;3;53;7;-;117;149;-;58667
"..Maio/2015";17778;11921;18952;454;817;24;7861;6;183;9;-;122;138;-;58265
"..Junho/2015";18449;12577;18517;399;709;51;7210;10;155;12;-;112;146;-;58347
"..Julho/2015";19853;12733;19875;485;739;50;6989;6;85;15;-;124;113;-;61067
"..Agosto/2015";18945;12533;18958;399;717;58;6380;5;225;6;-;7;158;-;58391
"..Setembro/2015";18608;12117;17936;414;651;67;6161;9;105;10;-;109;179;-;56366
"..Outubro/2015";19513;12005;18050;421;737;85;5853;12;158;15;-;4;159;-;57012
"..Novembro/2015";17646;10386;18494;376;636;51;6012;7;163;11;4;176;155;-;54117
"..Dezembro/2015";16372;11315;17821;390;571;54;5590;9;158;1;3;108;133;-;52525
"2016";203957;135688;209671;4976;6556;353;73241;100;1644;149;38;1044;1684;-;639101
"..Janeiro/2016";16167;12155;18105;440;575;42;5573;9;117;8;2;195;157;-;53545
"..Fevereiro/2016";15499;11452;17436;418;591;51;5861;1;91;13;7;116;125;-;51661
"..Março/2016";18352;12148;19631;440;559;57;6233;9;121;16;-;17;122;-;57705
"..Abril/2016";17263;12271;17819;415;548;14;6879;6;85;12;1;98;138;-;55549
"..Maio/2016";16825;12021;17343;381;511;27;6574;5;119;11;3;3;94;-;53917
"..Junho/2016";16780;11682;17313;357;539;32;7213;1;185;18;5;121;104;-;54350
"..Julho/2016";17599;11964;17167;525;637;23;6254;10;140;15;3;164;154;-;54655
"..Agosto/2016";18498;11101;18276;487;532;30;6530;5;154;18;8;194;138;-;55971
"..Setembro/2016";17272;10436;17372;342;503;19;6063;12;190;16;3;11;183;-;52422
"..Outubro/2016";16449;9925;16674;361;530;20;5542;9;194;16;1;28;141;-;49890
"..Novembro/2016";16761;10316;16662;393;522;20;5064;13;153;-;5;10;162;-;50081
"..Dezembro/2016";16492;10217;15873;417;509;18;5455;20;95;6;-;87;166;-;49355
"2017";208589;150989;209261;4912;6704;426;69295;119;2065;226;12;1884;1669;-;656151
"..Janeiro/2017";15169;10515;16866;416;608;42;5204;15;71;32;1;11;133;-;49083
"..Fevereiro/2017";15534;10768;16362;415;517;15;4844;14;63;22;-;269;122;-;48945
"..Março/2017";17417;12522;17122;461;529;39;5532;12;139;21;1;125;135;-;54055
"..Abril/2017";16543;11246;16557;382;504;52;5241;8;167;19;1;202;115;-;51037
"..Maio/2017";18300;13498;17786;390;566;42;6276;6;249;24;1;80;179;-;57397
"..Junho/2017";17257;13230;17973;406;557;30;6219;13;257;20;1;216;119;-;56298
"..Julho/2017";18474;13516;18531;431;539;26;6118;11;203;20;3;199;165;-;58236
"..Agosto/2017";19693;13259;18757;416;635;33;6243;6;280;8;3;141;137;-;59611
"..Setembro/2017";17959;13512;17403;404;632;38;5810;9;162;1;-;197;161;-;56288
"..Outubro/2017";18329;13691;17643;366;572;35;6057;17;221;34;1;104;167;-;57237
"..Novembro/2017";17162;12345;17723;379;518;32;6067;-;134;16;-;172;122;-;54670
"..Dezembro/2017";16752;12887;16538;446;527;42;5684;8;119;9;-;168;114;-;53294
"2018";223288;159039;227280;4439;5631;530;72822;64;3174;290;3;1998;1818;-;700376
"..Janeiro/2018";16990;13203;18862;394;438;63;5701;12;199;28;1;94;161;-;56146
"..Fevereiro/2018";15435;13023;17330;394;522;67;5142;2;156;21;-;231;106;-;52429
"..Março/2018";18273;14249;18433;433;503;43;6075;8;219;26;-;144;178;-;58584
"..Abril/2018";19035;14208;19055;369;423;40;6659;3;243;28;-;149;136;-;60348
"..Maio/2018";18533;14467;19986;376;463;48;6807;5;247;25;-;174;201;-;61332
"..Junho/2018";18861;14048;19066;429;454;37;6425;6;288;31;-;179;160;-;59984
"..Julho/2018";19622;14068;20474;376;473;37;6565;7;365;25;-;263;146;-;62421
"..Agosto/2018";19712;13186;20259;385;501;50;6366;-;238;21;1;162;141;-;61022
"..Setembro/2018";19845;12678;18831;384;461;34;5935;10;292;8;-;156;141;-;58775
"..Outubro/2018";20999;12390;18373;316;505;48;6068;2;351;43;1;145;146;-;59387
"..Novembro/2018";18751;12529;18619;326;486;45;5869;3;313;20;-;168;155;-;57284
"..Dezembro/2018";17232;10990;17992;257;402;18;5210;6;263;14;-;133;147;-;52664
"2019";242932;153780;240636;4511;6326;512;73834;65;3469;250;2;1877;2585;-;730779
"..Janeiro/2019";18956;13538;20266;459;599;72;5959;4;220;23;2;180;192;-;60470
"..Fevereiro/2019";18409;12722;18482;333;519;37;5486;6;272;26;-;159;191;-;56642
"..Março/2019";18185;13058;19098;442;492;29;5560;4;271;20;-;145;182;-;57486
"..Abril/2019";19030;12601;18535;425;454;33;6492;6;262;20;-;38;200;-;58096
"..Maio/2019";21375;13067;21226;341;523;50;7386;1;324;26;-;173;222;-;64714
"..Junho/2019";19681;12326;20761;417;470;25;6728;-;263;26;-;200;170;-;61067
"..Julho/2019";22564;12372;21293;489;540;36;6295;-;279;29;-;166;236;-;64299
"..Agosto/2019";21686;13906;21389;353;563;55;5923;4;345;25;-;127;251;-;64627
"..Setembro/2019";21440;13497;20332;342;544;52;5714;16;334;20;-;175;239;-;62705
"..Outubro/2019";21992;12619;21098;266;565;41;5895;9;380;5;-;225;227;-;63322
"..Novembro/2019";20300;12416;19567;342;515;42;6532;11;313;18;-;171;238;-;60465
"..Dezembro/2019";19314;11658;18589;302;542;40;5864;4;206;12;-;118;237;-;56886
"2020";183521;151005;245188;3559;4666;401;62556;141;2454;251;-;794;2286;128;656950
"..Janeiro/2020";18699;13347;20166;468;431;83;6184;14;360;17;-;91;238;-;60098
"..Fevereiro/2020";18567;11885;18251;236;482;35;5577;12;301;21;-;173;195;-;55735
"..Março/2020";17120;12771;17757;274;311;48;5532;10;212;26;-;-;183;-;54244
"..Abril/2020";12290;12937;15880;267;316;28;4563;10;93;24;-;2;130;-;46540
"..Maio/2020";11565;14141;20106;288;286;22;4519;13;86;21;-;73;243;-;51363
"..Junho/2020";11351;13251;21329;291;315;26;4909;16;105;20;-;68;183;58;51922
"..Julho/2020";13609;13789;22699;340;438;28;5254;7;121;24;-;-;201;29;56539
"..Agosto/2020";15168;12370;22268;297;382;30;5037;17;244;23;-;93;155;41;56125
"..Setembro/2020";15814;12537;21447;291;357;21;5061;13;257;19;-;64;178;-;56059
"..Outubro/2020";17357;11460;21261;286;418;31;5347;13;231;18;-;88;228;-;56738
"..Novembro/2020";16559;10768;21460;273;461;26;5418;10;228;15;-;79;180;-;55477
"..Dezembro/2020";15422;11749;22564;248;469;23;5155;6;216;23;-;63;172;-;56110
"2021";214268;148196;287878;3302;5453;430;67844;138;3504;252;3;1062;2426;-;734756
"  Janeiro/2021";14743;12568;22734;286;400;53;5678;6;169;24;-;56;147;-;56864
"  Fevereiro/2021";14305;11755;21171;292;441;36;5379;12;161;22;-;92;190;-;53856
"  Março/2021";17639;13350;24666;281;426;31;5641;15;251;22;-;104;161;-;62587
"  Abril/2021";15080;12713;25708;271;413;27;5257;10;302;20;-;49;207;-;60057
"  Maio/2021";16480;13052;27282;266;453;24;5766;14;267;21;-;108;219;-;63952
"  Junho/2021";17874;12867;25201;282;549;37;5293;9;299;22;-;107;161;-;62701
"  Julho/2021";18625;12469;24628;327;436;29;5665;12;289;18;-;89;217;-;62804
"  Agosto/2021";19978;12260;25123;291;507;30;5758;14;372;19;-;66;231;-;64649
"  Setembro/2021";20315;12100;24515;280;524;33;5630;14;359;21;-;86;267;-;64144
"  Outubro/2021";20187;11489;23024;259;463;44;5630;11;367;19;2;97;207;-;61799
"  Novembro/2021";19689;11599;21522;248;435;38;6039;17;394;24;-;95;206;-;60306
"  Dezembro/2021";19353;11974;22304;219;406;48;6108;4;274;20;1;113;213;-;61037
"2022";264255;142307;276389;3235;5315;608;85527;190;6235;313;10;1489;2776;-;788649
"..Janeiro/2022";18451;12183;23320;270;450;70;5882;17;297;19;-;112;226;-;61297
"..Fevereiro/2022";18557;11840;21953;274;416;36;5914;10;418;26;1;76;173;-;59694
"..Março/2022";20748;12886;22570;314;468;52;7684;16;577;23;2;116;216;-;65672
"..Abril/2022";20814;12098;21437;288;417;45;7747;15;571;23;1;144;234;-;63834
"..Maio/2022";21737;12429;23350;256;512;39;8016;3;557;26;1;97;231;-;67254
"..Junho/2022";21422;12393;22341;153;532;46;7510;5;493;25;-;135;180;-;65235
"..Julho/2022";22775;12557;23765;281;375;60;7617;26;625;32;1;127;204;-;68445
"..Agosto/2022";24465;11811;24534;339;531;61;7741;20;636;32;-;193;262;-;70625
"..Setembro/2022";23363;10198;24041;255;458;55;7130;17;595;26;2;137;284;-;66561
"..Outubro/2022";24851;11137;23609;274;441;45;7036;15;571;28;-;118;255;-;68380
"..Novembro/2022";23297;11242;22610;215;351;52;6882;20;487;29;-;126;277;-;65588
"..Dezembro/2022";23775;11533;22859;316;364;47;6368;26;408;24;2;108;234;-;66064
"2023";326314;142034;293521;3913;4408;822;87454;163;11324;285;7;1908;3220;-;875373
"Janeiro/2023";23074;11667;23722;371;373;88;6187;23;550;23;1;117;270;-;66466
"Fevereiro/2023";22335;11184;21906;270;412;48;6288;15;467;22;-;137;247;-;63331
"Março/2023";26013;13221;24800;323;365;61;7789;17;553;26;-;152;277;-;73597
"Abril/2023";24058;12089;22864;436;421;76;8094;11;655;20;1;207;230;-;69162
"Maio/2023";28146;13214;24886;363;386;68;8912;13;600;23;-;199;243;-;77053
"Junho/2023";27782;12282;24911;311;304;84;7720;17;546;20;-;175;190;-;74342
"Julho/2023";28504;11880;25146;366;270;56;7316;10;628;21;1;86;269;-;74553
"Agosto/2023";29809;11627;25349;297;475;90;7598;7;723;23;2;160;271;-;76431
"Setembro/2023";28968;11924;25388;304;375;73;7204;16;1006;23;-;115;271;-;75667
"Outubro/2023";30633;11718;24826;340;327;71;7104;13;2917;17;1;204;275;-;78446
"Novembro/2023";28854;10500;25014;261;331;63;6762;11;1185;42;-;120;317;-;73460
"Dezembro/2023";28138;10728;24709;271;369;44;6480;10;1494;25;1;236;360;-;72865
"2024";24435;10851;23266;265;293;98;6313;9;1690;26;-;86;228;-;67560
"Janeiro/2024";24435;10851;23266;265;293;98;6313;9;1690;26;-;86;228;-;67560
"Total";2311919;1476458;2438165;42990;61561;5267;750509;1164;37490;2364;100;15144;20575;128;7163834
