"Ano/mês processamento";"Clínica cirúrgica";"Obstetrícia";"Clínica médica";"Cuidados prolongados (crônicos)";"Psiquiatria";"Pneumologia sanitária (tisiologia)";"Pediatria";"Reabilitação";"Clínica cirúrgica - hospital-dia";"Aids - hospital-dia";"Intercorrência pós-transplante - hospital-dia";"Saúde mental - hospital-dia";"Saúde mental - clínico";"Não discriminado";"Total"
"2014";2,61;0,02;15,33;39,14;1,05;11,31;1,56;3,30;-;-;-;-;0,51;...;6,27
"..Janeiro/2014";2,55;0,02;15,07;41,10;1,50;12,20;1,71;-;-;-;...;-;-;...;6,42
"..Fevereiro/2014";2,56;0,04;14,77;36,51;1,85;9,09;1,59;-;-;-;-;-;2,33;...;6,10
"..Março/2014";2,79;0,01;15,42;39,88;1,38;10,71;1,39;-;-;-;-;-;-;...;6,31
"..Abril/2014";2,72;0,03;15,63;38,83;0,62;2,70;1,41;-;-;-;-;-;2,44;...;6,31
"..Maio/2014";2,91;0,01;14,35;38,17;1,57;19,35;1,45;-;-;-;-;-;-;...;5,74
"..Junho/2014";2,71;0,05;14,35;39,30;1,20;3,33;1,70;-;-;-;-;-;-;...;5,97
"..Julho/2014";2,49;0,02;16,02;36,39;1,43;16,22;1,61;-;-;-;...;-;-;...;6,41
"..Agosto/2014";2,44;0,03;16,10;47,52;0,73;16,33;1,24;20,00;-;-;-;-;-;...;6,42
"..Setembro/2014";2,44;0,01;15,59;35,87;0,40;18,18;1,61;-;-;-;-;-;-;...;6,32
"..Outubro/2014";2,64;0,03;15,62;37,94;0,64;7,32;1,55;-;-;-;-;-;-;...;6,47
"..Novembro/2014";2,18;0,01;15,21;37,93;0,64;6,98;1,65;100,00;-;-;-;-;-;...;6,16
"..Dezembro/2014";3,00;0,03;15,55;41,84;0,66;12,82;1,89;-;-;-;...;-;-;...;6,54
"2015";2,70;0,02;15,98;38,75;0,66;11,47;1,63;5,95;-;0,76;-;-;0,27;...;6,56
"..Janeiro/2015";2,94;0,02;15,92;21,40;0,65;6,67;1,52;-;-;-;...;-;-;...;6,56
"..Fevereiro/2015";3,16;0,01;15,39;40,34;0,23;15,12;1,53;20,00;-;-;-;-;-;...;6,66
"..Março/2015";2,43;0,02;15,34;45,02;0,83;6,25;1,68;-;-;-;...;-;-;...;6,22
"..Abril/2015";2,93;0,04;16,42;41,98;0,85;17,07;1,51;-;-;-;...;-;-;...;6,66
"..Maio/2015";2,81;0,02;17,31;38,99;0,98;37,50;1,81;16,67;-;-;...;-;-;...;7,07
"..Junho/2015";2,81;-;16,56;35,09;0,42;9,80;1,61;-;-;-;...;-;-;...;6,60
"..Julho/2015";2,57;0,02;16,04;41,03;0,95;8,00;1,82;-;-;-;...;-;0,88;...;6,61
"..Agosto/2015";2,50;0,04;16,04;37,34;0,56;15,52;1,57;20,00;-;-;...;-;-;...;6,48
"..Setembro/2015";2,53;0,02;16,01;38,41;0,31;2,99;1,51;-;-;-;...;-;-;...;6,39
"..Outubro/2015";2,47;0,02;15,62;37,05;0,68;5,88;1,69;16,67;-;-;...;-;-;...;6,26
"..Novembro/2015";2,62;0,03;15,40;42,29;0,63;19,61;1,66;-;-;9,09;-;-;1,29;...;6,63
"..Dezembro/2015";2,73;0,01;15,59;38,46;0,70;9,26;1,54;-;-;-;-;-;0,75;...;6,61
"2016";2,77;0,03;16,53;36,21;0,81;9,63;1,65;5,00;-;0,67;-;-;0,53;...;6,80
"..Janeiro/2016";2,87;0,04;17,30;38,64;0,70;14,29;2,06;22,22;-;-;-;-;0,64;...;7,28
"..Fevereiro/2016";2,76;0,03;15,82;34,45;0,68;7,84;1,35;-;-;-;-;-;0,80;...;6,62
"..Março/2016";2,57;0,02;15,94;32,05;1,07;7,02;1,96;-;-;-;...;-;-;...;6,72
"..Abril/2016";2,79;0,02;16,12;39,52;0,18;21,43;1,45;-;-;-;-;-;0,72;...;6,53
"..Maio/2016";2,54;0,04;15,87;37,53;0,78;11,11;1,32;-;-;-;-;-;1,06;...;6,35
"..Junho/2016";2,72;0,02;16,67;42,86;2,04;9,38;1,47;-;-;-;-;-;-;...;6,66
"..Julho/2016";2,97;0,03;18,49;28,95;0,78;4,35;1,79;-;-;-;-;-;2,60;...;7,27
"..Agosto/2016";2,57;0,08;17,09;37,78;1,13;6,67;1,58;-;-;-;-;-;0,72;...;6,98
"..Setembro/2016";2,87;0,03;16,71;39,18;0,60;5,26;1,76;-;-;-;-;-;-;...;6,96
"..Outubro/2016";2,77;0,03;15,83;38,78;0,94;5,00;1,61;11,11;-;-;-;-;-;...;6,68
"..Novembro/2016";2,89;0,03;16,64;36,13;0,19;10,00;1,72;15,38;-;...;-;-;-;...;6,98
"..Dezembro/2016";3,01;0,01;15,88;32,37;0,59;22,22;1,92;-;-;16,67;...;-;-;...;6,62
"2017";2,82;0,03;16,50;37,85;0,58;8,22;1,82;6,72;0,05;0,44;-;0,16;0,36;...;6,65
"..Janeiro/2017";2,94;0,02;16,47;33,41;0,33;4,76;1,65;13,33;-;-;-;-;-;...;7,04
"..Fevereiro/2017";2,67;0,02;15,37;32,53;0,39;6,67;2,09;7,14;-;-;...;-;-;...;6,48
"..Março/2017";3,01;0,02;16,48;39,70;0,95;5,13;1,97;-;-;-;-;0,80;-;...;6,75
"..Abril/2017";2,96;0,04;16,69;38,22;0,60;11,54;1,89;-;-;-;-;0,50;-;...;6,88
"..Maio/2017";2,87;0,04;16,59;36,67;0,71;14,29;1,80;-;-;-;-;-;-;...;6,53
"..Junho/2017";2,77;0,01;16,64;35,96;0,90;3,33;1,77;7,69;-;-;-;-;0,84;...;6,63
"..Julho/2017";2,65;0,04;17,31;40,84;0,56;11,54;1,85;-;-;-;-;-;-;...;6,87
"..Agosto/2017";2,89;0,04;16,73;41,11;0,47;6,06;1,68;-;-;-;-;0,71;-;...;6,70
"..Setembro/2017";2,61;0,03;16,46;36,63;0,32;5,26;1,84;33,33;-;-;...;-;0,62;...;6,40
"..Outubro/2017";2,71;0,01;16,38;40,71;0,52;14,29;2,06;-;-;-;-;-;1,80;...;6,42
"..Novembro/2017";2,79;0,02;16,17;38,52;0,77;3,13;1,80;...;0,75;-;...;-;-;...;6,60
"..Dezembro/2017";2,95;0,02;16,63;39,69;0,57;9,52;1,50;12,50;-;11,11;...;-;0,88;...;6,60
"2018";2,67;0,03;16,91;39,15;0,44;10,38;1,80;3,13;-;-;-;-;0,55;...;6,79
"..Janeiro/2018";2,73;0,04;16,36;31,22;-;17,46;2,44;8,33;-;-;-;-;-;...;6,82
"..Fevereiro/2018";3,05;0,04;16,93;33,50;0,19;4,48;2,20;-;-;-;...;-;-;...;6,98
"..Março/2018";2,79;0,05;16,99;42,73;1,19;11,63;2,14;-;-;-;...;-;1,12;...;6,79
"..Abril/2018";2,37;0,04;16,14;37,67;0,71;7,50;1,71;-;-;-;...;-;0,74;...;6,28
"..Maio/2018";2,73;0,03;17,34;40,69;0,65;8,33;1,63;-;-;-;...;-;0,50;...;6,93
"..Junho/2018";2,69;0,01;17,27;40,33;-;13,51;1,73;-;-;-;...;-;1,25;...;6,82
"..Julho/2018";2,69;0,04;18,17;42,02;0,63;2,70;1,72;14,29;-;-;...;-;-;...;7,26
"..Agosto/2018";2,57;0,03;16,68;37,40;0,40;16,00;1,82;...;-;-;-;-;-;...;6,82
"..Setembro/2018";2,58;0,01;17,24;45,83;0,43;8,82;1,67;-;-;-;...;-;1,42;...;6,88
"..Outubro/2018";2,69;0,02;16,92;38,92;0,59;10,42;1,45;-;-;-;-;-;-;...;6,56
"..Novembro/2018";2,41;0,02;16,24;42,94;-;6,67;1,48;-;-;-;...;-;0,65;...;6,47
"..Dezembro/2018";2,87;-;16,45;35,80;0,50;22,22;1,77;-;-;-;...;-;0,68;...;6,92
"2019";2,73;0,03;16,52;41,21;0,60;8,98;1,71;7,69;-;-;-;-;0,39;...;6,80
"..Janeiro/2019";2,88;0,05;16,75;37,91;0,83;4,17;2,13;-;-;-;-;-;0,52;...;7,04
"..Fevereiro/2019";2,83;0,02;15,62;37,84;0,39;5,41;1,82;-;-;-;...;-;1,05;...;6,43
"..Março/2019";2,99;0,02;17,07;43,21;0,41;10,34;1,67;-;-;-;...;-;0,55;...;7,13
"..Abril/2019";2,92;0,04;15,80;43,53;0,44;12,12;1,60;-;-;-;...;-;0,50;...;6,52
"..Maio/2019";2,75;0,04;16,79;38,12;0,96;14,00;2,02;-;-;-;...;-;-;...;6,87
"..Junho/2019";2,86;0,02;17,65;43,41;0,64;8,00;1,84;...;-;-;...;-;-;...;7,43
"..Julho/2019";2,67;0,03;17,17;38,24;0,56;13,89;1,64;...;-;-;...;-;0,42;...;7,09
"..Agosto/2019";2,65;0,06;16,18;35,69;0,53;10,91;1,81;-;-;-;...;-;0,80;...;6,63
"..Setembro/2019";2,40;0,04;16,27;48,83;1,10;7,69;1,47;6,25;-;-;...;-;0,42;...;6,53
"..Outubro/2019";2,60;0,04;16,10;39,85;0,35;14,63;1,73;11,11;-;-;...;-;0,44;...;6,62
"..Novembro/2019";2,63;0,01;16,07;44,15;0,39;4,76;1,26;18,18;-;-;...;-;-;...;6,48
"..Dezembro/2019";2,72;0,03;16,68;44,70;0,55;5,00;1,45;25,00;-;-;...;-;-;...;6,77
"2020";3,48;0,03;19,99;46,73;0,49;13,22;2,03;7,09;-;-;...;0,13;0,57;37,50;8,91
"..Janeiro/2020";2,87;0,03;16,92;45,09;0,70;8,43;2,33;21,43;-;-;...;-;0,84;...;7,19
"..Fevereiro/2020";2,77;0,05;16,11;42,80;0,21;22,86;1,85;-;-;-;...;-;0,51;...;6,59
"..Março/2020";2,90;0,02;17,62;50,73;0,96;12,50;1,50;-;-;-;...;...;-;...;7,11
"..Abril/2020";3,58;0,03;19,91;55,81;0,63;10,71;1,86;20,00;-;-;...;-;0,77;...;8,27
"..Maio/2020";4,73;0,03;24,00;52,78;0,70;4,55;2,68;7,69;-;-;...;-;0,41;...;11,01
"..Junho/2020";4,48;0,04;22,64;52,23;0,63;15,38;2,44;-;-;-;...;-;0,55;43,10;10,88
"..Julho/2020";4,28;0,01;22,61;42,94;0,46;21,43;2,11;-;-;-;...;...;-;-;10,58
"..Agosto/2020";3,38;0,03;19,97;43,10;0,52;10,00;2,14;-;-;-;...;-;-;56,10;9,32
"..Setembro/2020";3,60;0,03;20,24;46,39;-;23,81;1,88;15,38;-;-;...;-;1,12;...;9,19
"..Outubro/2020";3,23;0,01;17,98;43,36;0,48;9,68;2,04;7,69;-;-;...;-;0,44;...;8,15
"..Novembro/2020";3,35;0,04;20,39;39,93;0,22;11,54;1,88;10,00;-;-;...;-;0,56;...;9,28
"..Dezembro/2020";3,68;0,01;20,38;47,18;0,64;17,39;1,69;-;-;-;...;1,59;1,74;...;9,59
"2021";3,26;0,04;21,48;45,34;0,44;12,56;1,70;5,07;-;-;-;-;0,41;...;9,75
"  Janeiro/2021";4,15;0,02;21,17;32,17;0,25;3,77;2,10;-;-;-;...;-;1,36;...;9,92
"  Fevereiro/2021";3,13;0,06;20,73;39,38;0,45;8,33;1,54;-;-;-;...;-;2,11;...;9,38
"  Março/2021";3,46;0,04;22,54;45,91;0,23;16,13;1,65;13,33;-;-;...;-;-;...;10,24
"  Abril/2021";3,59;0,06;24,93;46,13;0,24;14,81;1,81;10,00;-;-;...;-;-;...;11,96
"  Maio/2021";3,60;0,07;23,79;46,99;0,88;16,67;1,49;-;-;-;...;-;-;...;11,44
"  Junho/2021";3,08;0,03;21,82;50,00;0,18;10,81;2,10;11,11;-;-;...;-;0,62;...;10,07
"  Julho/2021";3,25;-;21,27;42,51;0,69;24,14;2,01;-;-;-;...;-;-;...;9,72
"  Agosto/2021";3,00;0,01;21,17;43,99;0,99;16,67;1,68;-;-;-;...;-;-;...;9,52
"  Setembro/2021";3,20;0,04;21,35;47,86;0,19;12,12;1,55;14,29;-;-;...;-;-;...;9,54
"  Outubro/2021";2,83;0,04;19,19;51,35;0,65;13,64;1,31;-;-;-;-;-;0,97;...;8,44
"  Novembro/2021";3,29;0,07;18,92;46,77;-;7,89;1,57;-;-;-;...;-;0,49;...;8,19
"  Dezembro/2021";2,82;0,04;19,72;54,79;0,49;14,58;1,60;25,00;-;-;-;-;-;...;8,48
"2022";2,50;0,03;17,85;43,12;0,26;14,14;1,51;4,74;0,02;0,32;-;0,27;0,61;...;7,46
"..Janeiro/2022";3,08;0,01;21,03;34,44;0,44;5,71;1,99;11,76;-;-;...;-;0,88;...;9,29
"..Fevereiro/2022";2,67;0,03;19,93;37,59;0,24;11,11;1,34;20,00;-;-;-;-;0,58;...;8,48
"..Março/2022";2,74;0,02;18,02;45,54;-;13,46;1,37;6,25;-;-;-;0,86;0,93;...;7,46
"..Abril/2022";2,76;0,02;17,24;48,96;0,48;6,67;1,52;-;-;-;-;0,69;0,43;...;7,11
"..Maio/2022";2,61;0,01;17,66;49,22;0,39;23,08;1,37;33,33;0,18;-;-;-;0,43;...;7,35
"..Junho/2022";2,43;0,03;17,87;41,18;-;23,91;1,49;-;-;-;...;-;-;...;7,21
"..Julho/2022";2,47;0,04;17,73;41,28;0,27;25,00;1,35;-;-;3,13;-;-;0,49;...;7,33
"..Agosto/2022";2,33;0,05;17,51;53,69;0,38;8,20;1,55;5,00;-;-;...;0,52;1,15;...;7,34
"..Setembro/2022";2,64;0,06;17,64;44,71;0,22;18,18;1,64;-;-;-;-;0,73;0,70;...;7,67
"..Outubro/2022";2,02;0,02;17,40;46,35;0,23;13,33;1,32;6,67;-;-;...;-;-;...;7,08
"..Novembro/2022";2,27;0,01;16,11;26,05;0,57;7,69;1,37;-;-;-;...;-;0,36;...;6,60
"..Dezembro/2022";2,26;0,02;16,07;41,46;-;17,02;1,90;3,85;-;-;-;-;1,28;...;6,78
