"Ano/mês processamento";"Clínica cirúrgica";"Obstetrícia";"Clínica médica";"Cuidados prolongados (crônicos)";"Psiquiatria";"Pneumologia sanitária (tisiologia)";"Pediatria";"Reabilitação";"Clínica cirúrgica - hospital-dia";"Aids - hospital-dia";"Intercorrência pós-transplante - hospital-dia";"Saúde mental - hospital-dia";"Saúde mental - clínico";"Não discriminado";"Total"
"2014";6,0;3,1;9,1;97,5;125,4;49,9;6,6;38,2;0,0;28,3;12,8;28,5;9,9;...;8,8
"..Janeiro/2014";6,1;3,0;8,7;95,3;114,5;59,1;6,1;41,3;-;28,9;...;29,2;7,9;...;9,0
"..Fevereiro/2014";6,0;3,1;9,1;87,9;123,9;64,0;6,7;33,1;-;26,0;22,0;26,7;6,5;...;8,7
"..Março/2014";6,1;3,0;9,3;85,3;166,8;68,8;6,5;43,8;0,4;30,0;15,0;29,4;9,5;...;9,2
"..Abril/2014";6,3;3,1;9,1;107,3;143,5;63,2;6,5;44,0;-;28,0;8,8;27,5;8,4;...;9,1
"..Maio/2014";6,2;3,1;9,2;107,9;137,9;54,6;6,5;43,1;-;29,7;15,0;29,7;13,2;...;9,0
"..Junho/2014";6,0;3,0;8,9;92,4;139,1;58,6;6,5;41,0;-;29,0;7,0;28,2;3,0;...;9,0
"..Julho/2014";6,1;3,1;9,2;112,0;134,3;40,3;6,9;41,9;-;28,3;...;28,9;11,5;...;8,9
"..Agosto/2014";5,7;3,1;9,0;120,2;104,3;30,8;6,6;32,6;-;27,8;13,0;28,3;16,0;...;8,5
"..Setembro/2014";5,6;3,2;8,7;86,5;106,7;47,7;6,5;36,6;-;29,0;20,5;28,0;6,3;...;8,3
"..Outubro/2014";6,0;3,2;9,2;95,3;127,3;43,3;6,6;29,4;-;28,4;12,7;29,2;13,1;...;8,7
"..Novembro/2014";5,7;3,1;9,2;90,9;124,8;42,8;6,8;32,0;-;29,0;13,0;27,4;9,7;...;8,6
"..Dezembro/2014";6,2;3,2;9,4;101,2;100,5;41,5;6,7;37,6;-;26,1;...;28,9;11,6;...;8,9
"2015";5,7;3,1;8,9;90,9;114,2;45,3;6,7;35,1;0,2;28,0;8,5;27,9;9,8;...;8,3
"..Janeiro/2015";6,0;3,1;8,6;134,9;124,8;32,0;6,8;38,8;0,1;29,6;...;27,9;8,6;...;8,4
"..Fevereiro/2015";6,1;3,2;9,0;95,6;158,3;30,3;6,8;38,2;0,0;24,9;9,0;25,7;6,8;...;8,5
"..Março/2015";5,6;3,1;8,6;76,7;129,0;40,7;6,2;32,8;0,0;30,0;...;27,9;8,4;...;8,1
"..Abril/2015";5,9;3,1;8,4;91,4;125,7;46,6;6,3;35,3;-;29,0;...;28,2;8,7;...;8,0
"..Maio/2015";5,8;3,1;8,8;83,7;94,3;60,8;6,5;38,5;0,1;27,4;...;28,1;10,9;...;8,2
"..Junho/2015";5,5;3,1;9,1;86,0;102,7;54,5;6,5;33,6;0,1;29,0;...;28,4;10,2;...;8,1
"..Julho/2015";5,7;3,1;9,0;75,1;102,1;55,8;7,0;41,0;0,0;26,0;...;28,9;10,2;...;8,2
"..Agosto/2015";5,4;3,1;8,8;101,8;107,8;50,0;7,1;33,4;0,4;30,0;...;21,9;9,7;...;8,2
"..Setembro/2015";5,6;3,2;9,1;87,8;106,2;36,2;6,8;22,4;0,3;29,0;...;27,7;10,3;...;8,2
"..Outubro/2015";5,5;3,1;9,1;91,7;102,2;34,4;6,8;38,8;0,5;30,0;...;5,5;9,7;...;8,2
"..Novembro/2015";5,5;3,1;9,0;96,4;118,3;67,5;6,7;38,9;0,1;27,0;7,8;28,3;9,6;...;8,5
"..Dezembro/2015";6,1;3,1;9,1;93,8;128,4;56,5;6,9;33,2;-;30,0;9,3;29,1;10,4;...;8,6
"2016";6,0;3,0;9,1;77,0;121,1;59,3;7,0;39,1;0,1;27,7;10,4;27,1;9,7;...;8,3
"..Janeiro/2016";5,8;3,0;8,8;83,8;120,4;79,7;6,7;32,7;-;26,9;5,5;22,5;8,9;...;8,3
"..Fevereiro/2016";5,9;3,0;8,7;76,1;109,7;52,8;6,6;28,0;0,0;28,0;10,1;26,2;9,1;...;8,1
"..Março/2016";5,8;3,1;8,7;75,9;127,4;51,1;6,6;43,3;0,0;28,0;...;24,5;11,8;...;8,1
"..Abril/2016";5,7;3,1;8,9;80,0;124,7;141,4;6,6;31,8;0,0;25,9;-;28,8;10,3;...;8,1
"..Maio/2016";5,8;3,0;9,0;85,8;134,8;68,2;6,6;37,0;-;26,5;8,0;4,3;12,3;...;8,1
"..Junho/2016";6,0;3,0;8,8;89,9;124,7;51,9;6,9;43,0;0,2;27,6;11,4;28,4;8,8;...;8,2
"..Julho/2016";6,2;2,9;9,5;60,4;108,4;55,7;7,2;39,6;0,2;28,1;8,7;29,2;10,7;...;8,4
"..Agosto/2016";5,9;3,0;9,1;64,3;125,0;40,7;7,4;44,0;0,1;28,3;10,9;29,3;9,6;...;8,3
